COUNTER,READING
1,"{""data"":[[-6.085621615437434,-3.403284738877151,-0.15113359799343407,2.0364597329080762,2.752822612260367,1.7127176731176208,-0.5904747620846416,-2.1686345860518825,-2.0581768319101736,-0.8379128340087731,1.1803905954701377,3.2741788214671166,3.724087740304678,2.221231883713412,0.3248663550124835,-0.9069836930411208],[-6.5291962034332425,-5.296925373532513,-3.7787041457363437,-2.312476112919315,-0.5216275603608184,0.8444106131525148,0.893349868577323,0.09614293557597708,-1.2232895639315613,-2.657336272896827,-2.7223445071598964,-0.760404953229872,1.815394514868348,3.364448200929423,3.3859450193134886,2.074309827083927],[-0.9744866033104149,0.32916746033066246,3.0128230688511284,5.03743664034926,4.704191220078456,2.016964088047793,-2.085033478850909,-5.711559664817384,-6.500914595843014,-4.076036520064862,-0.5938630134585106,2.003739464964137,3.014263768759922,2.1031247148430916,-0.18665256058641488,-2.263933687037598],[-2.665962709066128,-3.5620838360397458,-3.4825074387450536,-2.852192851284874,-1.7851202487950313,-1.352066331407417,-2.243005309739298,-3.0593612123467775,-2.763515581493664,-1.6822799802546833,0.13480660898112684,2.2246418381998048,3.0624906030182433,2.238003160912378,0.8870664690468637,-0.31027186675652096],[-1.5951076568250901,-1.4866207564186533,-0.4209988650096197,0.8333844960226384,2.0564372516611193,2.1490860952438307,0.7856887754409696,-0.23518057619887667,-0.11117343559022724,0.5002812771426738,1.748959617595855,3.6054959181621538,4.835012606699516,4.885364536139143,4.213494982078746,2.716803247456844],[-9.112952564245843,-5.261418828647943,1.2521626394891237,6.65044012763515,8.27604596407984,5.944466731598365,1.0155929169413818,-4.011248826993366,-6.050552069440293,-3.742039083764411,1.1331299455131254,5.562541353977177,6.814604102676794,3.2009813101418967,-3.7213080263283893,-9.441910760327282],[-3.9904373830404505,-0.48632784526869743,3.6197995446005584,5.559071059868909,4.5763245003567175,1.490839796435417,-1.9200551768314642,-3.40252064442518,-2.2519201094210577,0.23148655155931963,2.6477397761862633,4.242829948299157,4.410553486819808,3.1091493714385288,1.1572536446627202,-0.4135184431381981],[-5.611587338591244,-3.475023991756752,0.17240287682749367,3.7284376005531388,6.167820907450935,5.683210474784639,2.43528703823989,-0.4639743917663519,-1.3403783855518552,-0.6449079571820511,1.2114351432357406,2.748348898359046,1.6278518959597492,-1.556127802667146,-3.8275099326110333,-4.14109985609368]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375521.361},""label"":""raw""}"
2,"{""data"":[[-1.0022983500030715,0.6383606461329383,2.8851107900690742,3.436878761918955,2.2745338667837696,0.6894442583051528,-1.050793198394941,-2.456280975772511,-2.507021401049463,-1.8156961194043617,-1.5380951217762304,-1.25748992904709,-0.6462239666280951,-0.5942424161449759,-0.826877830967218,-0.13729115817228577],[0.5397927880462674,0.7394957912557273,2.76623223446081,4.30472734433289,3.916879378254749,1.8416918323769145,-0.9774913227065283,-2.8766974831770886,-2.5964336817217037,-1.0915806969099795,-0.09978164749282364,0.23919184581990888,0.44696968671542514,0.30485056041454284,-0.04273318616239974,-0.23363160228286917],[-3.2502928442226513,-2.999635256446018,-1.1131803512100045,1.867147877801132,3.8960647019915107,3.7050672103938664,1.5374953714741735,-1.8498274254442866,-5.148958419321352,-6.720025616280342,-6.13843651711303,-4.513414591878802,-2.797216886630625,-1.743035602666433,-2.388442914142886,-4.225536011751744],[-1.1414623608484566,-0.8515499717062077,0.4278672623549069,1.2498980868230807,1.2726778801866203,1.0644544074726259,0.50278339801784,-0.21898756950691028,-0.07571718966050969,0.774750449127251,1.2807514193652136,1.5070283889011304,1.5001950836621727,0.30295945634787746,-1.800127088827207,-3.3996815436992245],[0.48356401802369453,-0.8905658077173066,-0.6652584659695256,-0.29848850494311563,-0.6981164849694971,-1.752935126085571,-3.3995327966996296,-4.559616063149357,-3.354233557635065,-0.12030369959075493,2.7767596887137747,4.061265350404633,3.402829532040262,0.6304684200156363,-2.493378412158823,-3.7755352086705036],[-10.57736365893473,-6.8597553753598834,-0.5227558275849145,4.612790800651165,5.523272726589079,2.8018142790469125,-0.732365094875767,-3.0932630295780355,-3.65789548571649,-2.814057405120284,-1.6005748783219906,-0.6210374522640356,0.45548469798768454,1.4034380468650816,0.7732570544390035,-1.993677193563643],[-1.0047192414494681,-0.16385564630758642,1.7855591396211736,3.086638594739286,2.711028718247303,1.4875275949792885,0.5599089393098857,0.7312582422680939,2.1020704260210037,3.2905861414397943,2.855863040642544,1.1485676277835148,-0.41994001977424966,-1.1660367412719463,-1.1357814662962884,-0.7159952295188436],[-2.835464814645053,0.26359720388792773,3.549846321624437,4.288846356115036,2.709097339261305,0.13264881555933083,-3.2891829989776427,-5.864463723362596,-4.977842830766935,-1.5637421826666293,1.9292860888064673,4.974855397394064,6.429312321430967,4.675218811049908,1.2817673814773287,-1.5371642532273626]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375583.788},""label"":""raw""}"
3,"{""data"":[[1.1155468811327842,2.4173672543623885,4.250046009831553,5.666880486880081,4.883685159590547,2.3465701592956023,-0.5226633232692457,-2.9186827331599545,-3.548038932439991,-1.4516803427036786,1.6961575852357753,3.6086725221584697,3.995045472767841,2.9035261289370964,0.3189399084111546,-1.9724712898066916],[-0.6897406073237276,-1.1676298831279395,-0.4046350119094191,1.4008415969185228,2.5429578674626843,2.2032338767457214,0.31870476520248303,-2.6394855047998225,-4.686225508614782,-3.673058906258549,-0.060878540840719086,3.7682991607977496,6.095220306367078,6.113090325489608,4.205448882433693,2.778451224774277],[-5.0289967048601465,-3.867841143570259,-1.4818808996984254,1.0889971419278583,2.280804887126803,1.205685766840229,-0.2125030042550473,0.16726105923633883,1.8788150042534313,3.7637330285259605,5.057830004767526,4.810947246644881,2.9422567853752213,0.506200687856105,-1.76881751883757,-3.3937430235694475],[-4.1598314723789,-3.92346457939554,-1.9811873697973579,0.7980502284347002,2.218225471688202,1.5178734450754527,-0.8890228757315835,-4.065260999661276,-5.800484742798806,-4.283214962110236,-0.710877929864485,2.2741395594119593,3.4400118299986695,2.715985700175904,0.748165633373219,-0.6874094314843895],[-3.541039996648518,-2.76952166482437,-1.317338302402534,0.3509923796946456,1.2019561286678886,1.4146771853984674,1.2457267636701206,0.4870381930343185,0.1581488431992794,1.7441142225703707,4.360664558821909,5.788933678546751,5.317884388146888,3.120759556267475,-0.34530886992909027,-3.1130755922104703],[-5.092065304731594,-6.241043644716631,-4.473636185696599,-0.4776598888483492,3.075809095902457,3.2628777672318723,0.6467347232926599,-1.7327555301880553,-2.0658004458256096,-0.07719843297503992,3.1591170257988073,5.4517570170207765,5.533891187377658,3.958754652644338,1.9134174210168904,0.33052345040014885],[-0.4886116356173341,-0.4337459723176573,0.06055964401465541,0.9757647612783583,1.433004743064834,0.8429503941293747,-0.6894474011561587,-2.7342232420617574,-4.339967181089635,-4.37558623815109,-3.218300295088445,-2.259235025586846,-2.053159555397375,-2.6690629109965682,-3.83445450318687,-4.03118426946921],[-3.871383121632335,-4.977297389015623,-3.4854940006716437,-1.0933017576976516,-0.45939592956710606,-1.2663064978774041,-2.317586649902252,-3.0754911173641215,-1.8627698527299292,2.4402882837148256,7.141028777968568,9.439034427456185,9.496812445604643,6.923716205800434,1.403437201248019,-3.802911600218172]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375646.059},""label"":""raw""}"
4,"{""data"":[[-2.128544677367588,-0.49941768448940005,1.9708596600129176,4.506803516296408,5.167292265958527,2.681535824456991,-0.9229312646590455,-3.0946014361134475,-3.0625343093173822,-0.9283332685190868,1.8509783386734098,2.5246585787807447,0.1980942085616917,-3.229986071029124,-5.854115792373069,-6.95470336692909],[3.5005376759317484,5.086256603847875,5.660163045026847,4.717083231355804,2.3651498821912833,-0.6387279658058979,-2.4890310024446416,-2.688878962370035,-2.3279116257106045,-1.5799754669229855,-0.05730800122924362,1.4443004311756935,1.9411410879382436,1.420547357668096,0.017386301887509337,-1.9108892920569414],[-3.2286315005094006,-0.4821988565831532,3.462925939229465,6.1262532181970535,5.997765380479596,2.8979173281891457,-1.692740018492396,-4.476505727444611,-3.15516758859506,1.1893711341007038,5.939691394068605,8.823249007262937,8.090506098807674,4.155294712656051,0.16598346788321772,-1.7238907545341178],[-0.6928943765830944,-0.4090416144842129,-0.4957309676843626,-0.28049247906971936,0.22377078495615094,0.478682258636845,0.838676826067347,1.3359980311893875,1.51803516100453,1.8268171051167756,2.8749872941332164,4.052433892133479,4.6139499595717,4.822614302142967,4.594888231537347,3.49534002452741],[-3.6479153820707744,-2.8940556963509705,-1.8434676976223852,-0.4555035890808084,0.35412411693120893,-0.40711724709430586,-1.7294079754787695,-2.622419924395013,-3.1704991176438044,-2.9750933553181254,-1.814736939767809,-0.9716105553238612,-1.2865556109812137,-1.797666248721382,-1.966230638377974,-2.1433480301658854],[-0.03309470275074122,1.256771070225221,3.3003953690896513,4.732993816672877,5.043260817329407,4.041869077051677,1.8390652247605384,-0.1705296582399609,-0.6281850434497076,0.10699116767653272,1.1366754375141488,1.6913786859123126,0.5691074275125043,-2.329729720868406,-4.768358156578975,-4.968282276902777],[-2.1181561565095195,1.0497173258972643,4.124767713893157,6.354821811510521,6.643303141036641,4.516006320935815,1.6345499883405434,-0.025326357747767814,0.4024205918607324,2.862704787269489,5.889330863729601,6.9448615233606725,4.818093004199817,0.8949205498285009,-2.6611474330914335,-5.024715377855786],[-5.4990680439463215,-4.0962614537779745,-0.827517208833402,2.7264504308247988,3.0889507511995378,-0.9171310522902312,-5.236485346223762,-6.554305232342321,-4.857684038879359,-0.645618961012616,4.243290511539592,6.560352258974614,5.772233371970163,3.9704738708379104,1.7088178611466198,-1.3546443912564388]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375708.919},""label"":""raw""}"
5,"{""data"":[[-5.996310408053227,-3.3629925084279684,-0.7091039178908809,1.2594727873797997,2.5830452754020823,2.0953757440137326,-0.7085156519418851,-3.8047262073721706,-5.458827511800893,-5.215643764146088,-2.8284143253905083,0.36918264505301535,1.5695411895090436,0.11451654215707685,-1.9744076069889573,-3.117267968909589],[-2.8455598274917326,-1.9862682316283207,-0.5932572903073069,0.2316630701310637,0.2912327466420702,-0.6931243783555743,-2.2862664509018513,-2.914152951794283,-1.9349728592103033,-0.13507442916767376,1.782788171298848,3.1653311447822086,2.702802208779862,0.2641229449775049,-2.290565633887734,-3.6451454704443718],[-1.9019889834173298,-0.9690287360279171,0.2857474626280122,0.24895743458453104,-1.1026853007626365,-2.3096768226955002,-3.065788954234321,-3.7091506526482867,-3.604470082091794,-2.5638327437519166,-1.632520622476132,-1.2139252825880438,-1.268314732854885,-2.2316722284836352,-3.5315212874806403,-3.419317531832239],[2.5852391365372336,2.8544511218052646,3.481281672605401,3.6868977323671643,3.0629266887856508,0.8752569726286634,-2.171874074457166,-3.713273083710341,-2.9706452106103303,-1.2686969839173512,0.21178192582779887,0.8229976438432229,-0.03837934382587571,-1.8080714306121322,-2.721268605974138,-2.3430930526043823],[-1.5612807701965523,0.20533691704219137,1.9077200981214675,3.0699320579289187,3.810828118930222,3.163084601022782,0.9662810432047373,-1.094546776888333,-2.1737446340856317,-2.5229244359558125,-1.8550226022894205,-0.287904416753189,0.7380857155840521,0.4837866533282309,-0.30201583353220807,-1.387769105299346],[-3.37464383071516,-0.8947181125527108,1.4086414570504722,1.8136746395849488,0.2085126555578547,-1.8491516232331793,-3.613645079441633,-4.659067831109146,-3.6728686024953423,-0.4682734487503577,3.119441825549136,5.223755621825422,4.524862937732621,0.6200994647104237,-4.527495346556477,-7.599109169119537],[-6.099649560006945,-5.950837876421918,-5.249036050078944,-4.116268238320185,-2.0855764958217073,-0.1771914707297848,-0.004737673260635844,-1.3118392640672467,-2.697874033465882,-2.9534920672452563,-1.4057940794216313,1.3053299361061894,3.1047076238541607,2.743261617990613,1.175615098486228,-0.19031827248379934],[-3.653130440697345,-4.030581705126825,-3.189436303853711,-0.8587405239840167,2.6467048145583614,4.059215195282327,1.5642606475650922,-2.584469979211304,-6.25693546530733,-7.874272797143093,-5.387163454483135,0.16682557017435995,4.484673120696478,5.261670580265587,3.5378574154316556,0.6644658288911827]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375771.065},""label"":""raw""}"
6,"{""data"":[[-2.5305806370263157,0.5431068207310634,4.846475787536641,7.675972301669166,8.217814222439078,6.897471626494869,3.956997627396456,0.7570488131817892,-0.5392275812467254,0.15908968416355718,1.4557026213618156,2.762260226440145,3.370222334794676,2.2053074356404236,-0.09480188347773466,-2.0963336121515836],[-3.4985181768309803,-1.3441823606072942,1.8985018255668864,3.7489771406934884,3.284359213450961,1.4129516700018974,-0.8807702112460295,-2.495621746537595,-2.4157810041326693,-1.4165206596538003,-0.977241622271932,-0.9747015925298919,-0.8304219347389693,-0.9991071020193923,-1.7018955680558339,-2.5197011344188773],[-1.217429993515439,2.2608909243941366,5.8264132266115265,8.210957845027444,8.102467685671414,5.515262612547447,1.912140931765683,-1.4563066540869591,-3.639673106284929,-3.588243080255385,-1.6517361482543613,0.25674337420291105,0.7162143126061566,-0.6202373955883622,-3.2756608182375007,-5.726047328855426],[-1.559893426672975,-0.2753530495605938,1.2505311050166832,1.5105284193097717,0.49218415839427454,-0.5762100177187431,-1.4035530509695617,-1.839239834282898,-1.223535462186593,-0.18267158970919267,-0.002650776211573752,-0.5571376538703005,-1.3596915519541333,-2.6943723095051864,-4.1402703670751615,-4.564448538849424],[-2.608619510955484,-2.4135464692293924,-0.43057479421966005,1.4117441765308503,1.9226989564718668,1.0907847998399471,-1.1465235178743296,-3.6718409711760245,-4.112325723265425,-2.0701826373432324,0.8511641854579017,3.6283209467241386,5.262539256883844,4.347126868451629,1.4173047321692624,-1.3823261531925979],[-7.04147889764822,-3.5829552757587555,1.0471584061881392,4.569030886084741,4.986714651026288,2.357851895173428,-1.5424259131697817,-4.816323405594008,-5.820574648501723,-3.789351534672802,-0.33843461645690986,1.630992777105808,1.0495061033322801,-1.184411630133009,-3.5937513096198135,-4.429859266049603],[-0.7392975204539691,-0.2242256616182342,0.8128398171514846,1.41912078043862,1.6702744505898983,2.0222512230973217,1.9886403555228045,0.9996147559340417,-0.3772946474709935,-1.3540009051292226,-1.5127457469280503,-0.5223910648175887,0.9313668290379982,1.005210785260486,-0.9957793523199894,-3.8595825201795204],[-1.5561794563701077,-0.2869469975483021,4.101380176273217,7.7939373154679625,9.220972359175697,8.33917152002264,4.529054692575479,-0.17881207537441002,-2.080351877336316,-1.1291930016605574,0.6030034041011088,2.3587118381115397,2.838124050876994,0.4322091859292647,-3.2294899696325716,-5.432883657046276]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375833.917},""label"":""raw""}"
7,"{""data"":[[-3.593457144731059,-4.321618897187669,-3.3906741090907024,-1.4883069478873505,-0.6141848741926162,-1.3176406477090246,-2.8644867173788455,-4.406641763815293,-4.452065201236386,-1.8072633157630307,1.7552937433889872,3.3275738081774846,2.559580532131747,0.5716475576152256,-1.8096763453850704,-3.1080588208183846],[-3.0265361491328546,-2.187648916635336,1.0467452019261185,5.279801969247811,7.229520931408739,5.362094898265024,0.6793107616011076,-4.537341377436799,-7.138849560423939,-5.103952863070541,-0.5589976754196124,2.3539244045975325,1.693548219461316,-2.308667790227706,-7.895270655161001,-11.19624393691042],[-6.048107037687861,-3.8808445846583086,-0.8266245789268807,1.4355258400630162,1.8893715649358684,-0.19946871195190452,-3.590657868093201,-5.676159098280567,-5.466129006719931,-3.113865003223305,0.6311027347146223,3.3595385205364012,3.203394774112233,0.9766532903630958,-1.6781701927079142,-3.362800668166972],[-3.857619242776818,-2.5442781161011547,-0.8136295076435691,0.36335462637830734,-0.32786601659826664,-2.188252254918284,-3.519754629759981,-3.5244750310325554,-1.7763585674523579,1.6781434970274212,4.998445382330741,6.070367905566254,4.801284675296854,2.063728267067111,-1.2813505556947724,-3.4692260515032762],[-3.022074822614335,-3.1717932891149085,-1.2488205553849319,1.5931443195947304,2.941458907224958,2.418309181205214,0.9613737369604756,-0.8349258551068499,-1.7639357224453414,-0.5602883324261242,1.66001270726304,2.6698055940339973,2.036298779641986,0.2777254506912197,-2.299970011926437,-4.313073229156391],[-2.637056571735584,0.8255965742006137,4.2180822370017275,6.6626132288378965,7.327425824954062,4.976291993266075,0.4526241334855481,-3.5065478094226394,-5.273651127480363,-4.399025380743444,-1.7136505049127597,-0.08889636292793315,-1.2298776941386982,-3.5175454279371525,-4.845937016890175,-4.2876312413606605],[-5.8550850007098,-5.392701506210512,-1.7940031938400347,3.2151317181767713,6.408642694345513,5.865556868986587,2.109754945447765,-2.5668529320966424,-5.310020386370082,-4.184575670195159,-0.17390970295617558,3.509232761434054,4.702727978769046,3.1467255195654857,-0.29653677010743085,-3.189341799049475],[-6.0499038586229466,-5.115419817170688,-1.9422758167408731,1.6087774817760356,2.546584771123014,0.8631084226857597,-2.1294624330088157,-5.247831240483297,-5.923999711248312,-2.5144508048754,1.983319959210907,3.4810945815312047,1.3723480054871873,-3.2429075504500813,-8.545849226914477,-10.894013250289952]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375896.244},""label"":""raw""}"
8,"{""data"":[[-2.4319834067975563,-1.3566420635071985,-1.3520503576349652,-1.6574581253623064,-1.7929100648460548,-2.1233155057472173,-1.593244325522097,0.05753506143995046,1.0691643202329897,1.0370485554139575,0.9468528260213971,0.694304997593785,0.22097605630093603,0.16803010834063392,-0.05947625764471398,-1.585288672208151],[-9.448537954161328,-4.199967265342275,1.496715539695261,5.854139751304113,7.475515935750317,6.19455432121393,4.31980259669621,3.489133027716928,3.2020327039654743,3.306308052050455,3.890723722057796,3.8470251622202056,2.6969872985787293,1.2060800671626892,-0.3270860154137605,-1.9061551523080338],[-2.8238375026954903,-0.3455593445537968,1.8169740385099071,2.002982956198011,0.41767475470479676,-2.0836971552709773,-4.290755007402014,-4.461207052198043,-2.172947897771952,1.103067091548884,4.183766630165744,6.657035412216377,7.5423725668144055,6.096947207100813,3.1925930688836766,-0.18901616894061046],[-3.1763417306546495,-1.2886965477392436,0.8017024991582784,2.6023876563620565,3.271714734039023,2.1282915646886904,0.5244612576438583,-0.05581236253513888,0.25377486486795864,1.1638315484001316,2.308837089904989,2.2428181979111548,0.42165641785087504,-1.6494967503261353,-2.6814003378866516,-2.7237738874002844],[-4.323146678207077,-3.073711874769347,-1.674790291578084,0.05808695631120919,1.4515474562048438,1.230845613146289,0.2231217495616018,-0.39074661428691615,-0.6444965674458342,-0.010474618039875594,1.8630474621356892,3.3198751247719978,3.1562768076505394,2.228302657978752,1.2008751481048834,-0.028481390604369237],[-1.7286903454804214,1.809155509173846,4.633110161267819,6.22256991279364,6.990736739390513,6.798420539872891,5.397542152751651,3.4463554415579662,1.825921301525086,1.0924131193599178,1.8912964869130557,4.317724038067996,6.65729583919833,6.471163599750303,2.925376236515837,-3.019359038341983],[-3.079195617988099,-0.25327233727261955,3.172823542934087,5.54530187107145,5.430530736173136,2.2398996109979534,-2.1336694889324006,-5.3796760668559,-6.810003420475542,-6.1752161869975115,-3.4863441316080053,-0.07215595669499919,2.373920874722003,2.9629526920644844,1.4293024667650933,-1.7995891698995312],[-8.534841002779947,-4.173029207998297,-0.32990026975717646,2.9283534000559497,4.663638761654699,3.7268311536310135,1.8505399171555157,-0.038541269842941484,-2.860481493214174,-4.8597361214175026,-3.7378811528997966,-0.981357906352367,1.3790114202346944,2.8149220677577325,1.8160268060984612,-2.336358559177234]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029375958.691},""label"":""raw""}"
9,"{""data"":[[-3.176558017959012,-2.816558710303147,-0.8681837422226106,1.6534155398205121,3.968000202422531,3.9873122949220496,1.0555877975662693,-2.0390109979642936,-3.3184970132462404,-2.805104674345892,-0.3761187859405646,2.906083329430519,4.535193794246111,4.0112166189704945,2.947992723444124,2.2352498144272532],[-2.586866390526957,-1.5010469556548225,0.5146009269146761,2.338507248195471,3.6132510893826355,3.249571049678075,0.7611421720791354,-1.8050563455286137,-2.902015519190028,-2.662518699247956,-1.0042439605582232,1.2466127866065888,1.8239118310158582,0.1844034381215831,-2.116161939347333,-3.836244044091153],[-2.968319986613871,-2.8353159159293986,1.1002063540804685,6.532570497740238,10.481869262365013,10.84058193575778,7.066518576594419,1.2760316373049423,-2.8230044398296092,-3.153779345830292,-0.7197301266340967,2.1265503317575476,3.2068649759999963,1.1557491127709776,-3.204650965717513,-7.027534324805131],[-1.9764334482709285,-0.827342223051681,-0.4498699525726853,-1.0321506758641026,-1.089996910903548,-0.2241758663842538,0.48920175510872055,0.921625411235243,1.0092244293815154,0.26819315089334445,-0.3365345777228159,0.11846118752888674,0.3670168664914346,-0.4997460149808238,-1.5824805214714908,-2.054486398168063],[-0.7900171654165898,-0.4068566860941824,0.3710224765059765,1.1133336148926858,2.458740727604063,3.467746452557861,2.3800009686853145,-0.018705528769087376,-2.1882308656602785,-3.5710014376554398,-3.0246169831241807,-0.3093566632036622,1.9858459407630673,2.049110830593429,0.9123915594604748,-0.22035020601767596],[-8.384646992933463,-8.971829307211518,-3.417192987955011,4.864789363421124,10.552182050433965,9.791319905591312,2.878898794649629,-5.5488762507002525,-9.911063738093398,-7.736562295467018,-1.2304699368175225,5.206319613528278,8.39899073952455,7.307915019314801,3.1782397737133112,-0.9704778408341233],[-4.566484658213678,-4.275264979830993,-0.9143218584551214,3.520665893353027,6.958077530437093,7.169795793366683,3.6678728141942765,-0.8903361705074713,-3.9751094653593277,-4.691617032175933,-2.8478731367759105,0.143601859394491,1.625029294904429,0.5030195627465346,-2.2273474124391583,-4.960020144241054],[-5.985651522894365,-5.317093606154675,-1.2350204050832074,4.0956109499356845,8.413879928813646,7.6254885478377705,0.9891537681579914,-6.197113452345472,-9.72627258020459,-8.694615212283718,-2.9176435230601765,4.680226704291201,8.509399658030489,6.735074446606667,1.98578767970214,-2.981765815325116]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029376021.198},""label"":""raw""}"
10,"{""data"":[[2.2039452451130024,3.4464560356806473,4.938363857092275,4.417283945465732,1.9522914257130135,-0.5231573916258012,-2.171654707912942,-2.722767660440693,-1.816280376509994,-0.9041410026927563,-1.557377296826496,-2.710165574198694,-2.9664458320156197,-2.6739099544106275,-1.9131040437750095,-0.32478942614526074],[-4.169663775218314,-2.4391802990333593,0.3728367614099941,2.010509265303287,1.7612876727118723,0.5736179021337151,-0.7348795007324789,-1.3213818185521375,-0.1869869796462913,1.8085898442524808,2.6275369399342425,1.9390898207412135,0.6158939071900094,-0.7239734786677867,-0.8790969608490151,1.013780669746395],[-8.34041971000812,-6.803345311010626,-2.87901920327469,1.4250708473083442,3.3220639349889294,2.1848506627811624,-0.4987839279201993,-2.9222644931389037,-3.420857008417098,-1.2362731189797893,2.2927462611414975,4.8137671759636875,5.391104500774864,4.302516696436135,1.854161227701622,-0.9764809678077664],[-1.3228416667483813,1.079587131436042,3.8967972189278806,4.799626756985847,3.213338822528203,0.5061613013195778,-1.9055413896021305,-3.0105591381554935,-2.059793404696882,0.05617755443168937,1.5215396785347857,2.0123029555138885,1.9553442458936459,1.089477237598972,-0.18158896900041238,-0.8217661245911636],[-0.5352683555693859,0.8657365290972825,3.1367402374313036,4.018057404240342,2.931360517822963,1.0497557014956853,-0.8236119388238441,-2.0417965108590916,-1.5721720551069116,-0.02852799693049657,0.8694463278606677,0.9438752094326324,0.589974279572643,-0.5460949220373983,-1.871141434148981,-2.2600896815950966],[-3.155348123314001,-3.1939620149398658,-1.404114537849054,0.7894447002553132,1.0307428248924784,-0.9568958523277995,-3.2547028015090236,-4.109176778042092,-2.4802633824000146,1.1722024111008253,4.063352026028246,3.7249851947154564,0.8500381623042133,-2.1559611954013778,-3.677783962707131,-3.33715931285122],[-6.095010023394128,-4.507528176207835,-0.8655066818582569,2.6696279219311836,4.731803476908809,5.4382332564524685,5.229525035423317,4.5964997293742265,4.368912093254259,4.656126483148892,4.71369066499694,4.471956395591432,4.388319269815355,4.201010994155262,3.823982576792555,3.693847190100029],[-5.580437052586328,-3.3051422166955877,2.258156238207703,5.918128729217649,5.4230851092169035,2.0770196004411834,-2.35045178052951,-4.852008596204428,-2.4314169606757012,2.9405193378882526,6.556370205785774,6.77423470537335,4.074440814172093,-0.7448171684034097,-4.509545047323982,-4.0610259561891295]],""info"":{""channelNames"":[""CP3"",""C3"",""F5"",""PO3"",""PO4"",""F6"",""C4"",""CP4""],""notchFrequency"":""60Hz"",""samplingRate"":256,""startTime"":1720029376083.483},""label"":""raw""}"
